alcohol,density,chlorides,total sulfur dioxide,volatile acidity,residual sugar,quality,tipo_calidad
8.9,0.9961,0.034,203.0,0.27,8.1,5,Mediana
9.6,0.9979,0.036,179.0,0.27,15.7,5,Mediana
10.7,0.992,0.027,121.0,0.23,1.2,6,Mediana
10.8,0.9917,0.035,96.0,0.19,1.9,7,Buena
11.8,0.9923,0.029,79.0,0.28,1.9,6,Mediana
10.2,0.9927,0.045,77.0,0.31,2.2,5,Mediana
10.8,0.992,0.039,107.0,0.21,1.2,6,Mediana
9.7,0.9947,0.036,99.0,0.21,4.3,6,Mediana
11.2,0.9921,0.037,87.0,0.2,2.0,6,Mediana
10.9,0.9905,0.04,114.0,0.255,1.1,6,Mediana
10.1,0.9918,0.044,168.0,0.16,1.4,6,Mediana
12.0,0.9917,0.034,80.0,0.34,4.6,7,Buena
9.4,0.994,0.054,116.0,0.25,4.1,6,Mediana
11.5,0.9934,0.043,152.0,0.22,8.0,7,Buena
9.9,0.9968,0.055,135.0,0.18,10.2,6,Mediana
9.4,0.994,0.054,116.0,0.25,4.1,6,Mediana
10.4,0.9919,0.048,97.0,0.18,1.2,5,Mediana
8.9,0.9979,0.066,198.0,0.24,14.0,6,Mediana
8.9,0.9979,0.066,198.0,0.24,14.0,6,Mediana
12.4,0.9898,0.036,124.0,0.32,1.5,7,Buena
12.4,0.9898,0.036,124.0,0.32,1.5,7,Buena
9.1,0.998,0.055,159.0,0.22,14.5,5,Mediana
10.6,0.9932,0.049,85.0,0.36,4.8,5,Mediana
8.9,0.9979,0.066,198.0,0.24,14.0,6,Mediana
9.5,0.997,0.05,205.0,0.24,13.1,5,Mediana
9.8,0.9972,0.051,177.0,0.23,13.0,5,Mediana
9.6,0.9974,0.048,197.0,0.27,8.7,6,Mediana
12.6,0.9896,0.034,98.0,0.46,2.4,7,Buena
9.3,0.9968,0.055,151.0,0.29,8.95,5,Mediana
12.7,0.9906,0.066,133.0,0.3,1.5,6,Mediana
11.0,0.9917,0.045,96.0,0.19,1.5,6,Mediana
11.4,0.9902,0.037,100.0,0.48,0.8,4,Baja
11.5,0.9918,0.038,130.0,0.22,4.55,7,Buena
10.2,0.999,0.051,173.0,0.27,17.7,5,Mediana
11.4,0.9927,0.04,151.0,0.23,7.5,6,Mediana
12.6,0.991,0.044,65.0,0.32,5.1,4,Baja
9.4,0.9972,0.054,170.0,0.23,12.9,5,Mediana
9.2,0.995,0.049,176.0,0.25,5.5,6,Mediana
9.3,0.9951,0.048,173.0,0.33,5.5,6,Mediana
9.2,0.9936,0.053,183.0,0.34,1.2,5,Mediana
8.7,1.001,0.048,167.0,0.28,22.0,5,Mediana
9.6,0.9979,0.05,227.0,0.27,14.0,6,Mediana
9.3,0.997,0.043,226.0,0.26,11.9,5,Mediana
9.3,0.9972,0.043,230.0,0.29,11.9,5,Mediana
9.9,0.9954,0.04,166.0,0.24,9.4,6,Mediana
11.0,0.9924,0.038,119.0,0.3,4.2,5,Mediana
8.9,0.9962,0.047,210.0,0.28,8.5,4,Baja
8.9,0.9962,0.052,211.0,0.28,8.5,6,Mediana
8.7,1.001,0.048,167.0,0.28,22.0,5,Mediana
11.4,0.9928,0.045,123.0,0.28,8.0,6,Mediana
9.6,0.9942,0.055,125.0,0.15,5.1,5,Mediana
8.9,0.9961,0.052,214.0,0.26,7.8,5,Mediana
8.8,0.998,0.05,204.0,0.32,13.1,5,Mediana
8.9,0.9961,0.052,214.0,0.26,7.8,5,Mediana
9.3,0.9984,0.049,196.0,0.27,16.1,5,Mediana
8.8,0.998,0.05,204.0,0.32,13.1,5,Mediana
12.0,0.9949,0.034,134.0,0.26,13.9,6,Mediana
10.2,0.9924,0.053,114.0,0.28,2.3,4,Baja
8.8,0.9972,0.042,153.0,0.21,11.6,5,Mediana
9.2,0.9958,0.045,126.0,0.16,8.3,5,Mediana
10.5,0.994,0.032,68.0,0.245,9.7,5,Mediana
11.2,0.9918,0.038,111.0,0.18,1.4,7,Buena
9.2,0.9958,0.045,126.0,0.16,8.3,5,Mediana
9.7,0.9944,0.051,122.0,0.13,5.3,6,Mediana
11.1,0.9912,0.03,105.0,0.25,1.4,7,Buena
9.4,0.9961,0.044,152.0,0.26,9.2,5,Mediana
11.0,0.9939,0.036,164.0,0.27,7.0,5,Mediana
9.4,0.9961,0.044,152.0,0.26,9.2,5,Mediana
9.4,0.9989,0.044,167.0,0.28,17.5,5,Mediana
11.0,0.9938,0.036,161.0,0.23,7.0,5,Mediana
11.0,0.9939,0.036,164.0,0.27,7.0,5,Mediana
11.1,0.9912,0.03,105.0,0.25,1.4,7,Buena
9.1,0.9936,0.043,144.0,0.19,0.8,6,Mediana
8.7,0.9998,0.046,145.0,0.24,17.8,5,Mediana
9.7,0.9938,0.048,200.0,0.17,2.4,6,Mediana
9.7,0.9938,0.048,200.0,0.17,2.4,6,Mediana
8.7,0.9998,0.046,145.0,0.24,17.8,5,Mediana
9.6,0.9976,0.041,194.0,0.28,7.8,6,Mediana
9.5,0.9976,0.039,208.0,0.27,7.8,6,Mediana
9.0,0.9979,0.058,194.0,0.23,14.3,6,Mediana
9.0,0.9979,0.058,194.0,0.23,14.3,6,Mediana
9.0,0.9979,0.058,194.0,0.23,14.3,6,Mediana
9.0,0.9979,0.058,194.0,0.23,14.3,6,Mediana
9.6,0.9982,0.039,159.0,0.25,15.55,6,Mediana
8.7,0.9985,0.05,197.0,0.32,13.7,5,Mediana
10.4,0.9944,0.031,90.0,0.31,7.8,5,Mediana
11.4,0.9903,0.026,100.0,0.21,2.4,7,Buena
9.7,0.9934,0.047,218.5,0.24,2.7,6,Mediana
8.7,0.9975,0.043,142.0,0.4,11.2,5,Mediana
12.6,0.99,0.03,139.0,0.21,2.1,7,Buena
10.9,0.9905,0.031,77.0,0.2,1.4,7,Buena
10.9,0.9905,0.03,76.0,0.19,1.4,7,Buena
10.0,0.996,0.037,119.0,0.41,10.4,5,Mediana
8.7,0.9975,0.043,142.0,0.4,11.2,5,Mediana
9.3,0.9932,0.054,158.0,0.24,1.5,6,Mediana
11.0,0.9927,0.035,97.0,0.35,5.7,7,Buena
11.0,0.9927,0.035,97.0,0.35,5.7,7,Buena
11.8,0.9912,0.032,118.0,0.23,1.8,6,Mediana
11.4,0.9904,0.037,75.0,0.36,0.9,4,Baja
10.2,0.9939,0.048,108.0,0.115,5.4,6,Mediana
8.9,0.9996,0.043,156.0,0.29,19.45,5,Mediana
10.2,0.9944,0.036,95.0,0.28,8.2,5,Mediana
9.6,0.9977,0.045,231.0,0.29,13.6,6,Mediana
10.6,0.9912,0.038,167.0,0.24,1.2,6,Mediana
8.9,0.9996,0.043,156.0,0.29,19.45,5,Mediana
9.2,0.9965,0.053,180.0,0.32,8.3,6,Mediana
9.2,0.9965,0.053,180.0,0.32,8.3,6,Mediana
9.3,0.9972,0.051,148.0,0.25,13.1,5,Mediana
9.5,0.9966,0.046,234.0,0.29,10.7,5,Mediana
9.8,0.9954,0.046,169.0,0.19,8.9,6,Mediana
9.8,0.9954,0.044,166.0,0.2,9.1,6,Mediana
10.6,0.9915,0.042,60.0,0.26,1.1,5,Mediana
10.6,0.9919,0.044,67.0,0.32,1.2,4,Baja
12.4,0.9916,0.036,105.0,0.3,4.7,7,Buena
10.5,0.9938,0.047,201.0,0.44,5.1,4,Baja
9.3,0.9982,0.054,196.0,0.34,15.6,5,Mediana
8.8,0.9988,0.055,198.0,0.35,15.4,5,Mediana
8.8,0.9961,0.056,180.0,0.32,7.2,5,Mediana
9.7,0.9978,0.053,190.0,0.28,15.7,6,Mediana
9.0,0.9979,0.058,192.0,0.23,14.2,7,Buena
9.0,0.9979,0.058,192.0,0.23,14.2,7,Buena
9.0,0.9979,0.058,192.0,0.23,14.2,7,Buena
9.0,0.9979,0.058,192.0,0.23,14.2,7,Buena
10.5,0.9945,0.041,155.0,0.15,5.8,6,Mediana
9.1,1.0,0.066,195.0,0.28,19.8,5,Mediana
9.8,0.9957,0.041,157.0,0.28,7.3,7,Buena
9.4,0.9934,0.046,175.0,0.33,1.2,6,Mediana
10.0,0.997,0.046,146.0,0.17,11.3,6,Mediana
10.3,0.9923,0.043,122.0,0.17,2.1,6,Mediana
10.5,0.992,0.05,74.0,0.2,0.9,6,Mediana
11.1,0.9914,0.055,168.0,0.29,1.3,6,Mediana
9.9,0.9949,0.057,163.0,0.41,6.8,6,Mediana
9.9,0.9949,0.057,163.0,0.41,6.8,6,Mediana
9.9,0.995,0.058,163.0,0.43,6.7,5,Mediana
9.9,0.995,0.058,166.0,0.4,6.7,6,Mediana
10.4,0.9927,0.036,134.0,0.33,4.9,7,Buena
10.4,0.9928,0.037,148.0,0.31,4.8,6,Mediana
11.5,0.9917,0.035,100.0,0.36,2.1,7,Buena
10.0,0.9954,0.042,149.0,0.25,3.7,6,Mediana
10.0,0.9941,0.038,166.0,0.36,6.7,6,Mediana
10.0,0.9941,0.04,167.0,0.34,6.6,5,Mediana
10.6,0.9927,0.031,134.0,0.25,4.7,6,Mediana
10.5,0.9938,0.031,135.0,0.24,7.7,5,Mediana
11.5,0.9933,0.03,133.0,0.3,7.85,7,Buena
10.1,0.9934,0.04,69.0,0.125,3.3,6,Mediana
10.5,0.9938,0.031,135.0,0.24,7.7,5,Mediana
10.6,0.9927,0.031,134.0,0.25,4.7,6,Mediana
10.4,0.9946,0.031,137.0,0.28,9.3,6,Mediana
11.4,0.993,0.046,207.0,0.41,2.0,5,Mediana
10.0,0.9976,0.04,216.0,0.26,15.15,6,Mediana
10.0,0.9944,0.039,143.0,0.34,6.3,6,Mediana
9.6,0.9978,0.042,195.0,0.28,15.4,6,Mediana
10.4,0.992,0.036,85.0,0.21,1.3,5,Mediana
10.6,0.9927,0.032,135.0,0.24,4.6,5,Mediana
11.8,0.9906,0.033,91.0,0.23,1.8,6,Mediana
9.8,0.9954,0.038,133.0,0.28,9.9,5,Mediana
10.8,0.9923,0.031,80.0,0.26,5.7,5,Mediana
11.8,0.9906,0.033,91.0,0.23,1.8,6,Mediana
11.2,0.991,0.036,105.0,0.23,1.5,6,Mediana
9.3,0.9972,0.045,170.0,0.27,12.3,6,Mediana
10.4,0.9945,0.047,139.0,0.26,1.3,5,Mediana
9.0,0.9964,0.045,153.0,0.2,7.8,7,Buena
10.0,0.9948,0.047,129.0,0.24,1.5,6,Mediana
9.1,0.9962,0.044,140.0,0.26,9.7,6,Mediana
10.0,0.9931,0.053,144.0,0.31,3.0,5,Mediana
10.0,0.993,0.052,145.0,0.29,3.0,6,Mediana
9.6,0.9942,0.05,131.0,0.145,4.6,6,Mediana
11.2,0.9906,0.031,68.0,0.34,1.3,7,Buena
8.8,0.9995,0.056,155.0,0.19,15.6,6,Mediana
10.0,0.998,0.052,118.0,0.18,13.6,6,Mediana
10.0,0.997,0.054,137.0,0.17,11.2,5,Mediana
11.4,0.9914,0.044,146.0,0.12,2.1,7,Buena
11.9,0.992,0.038,138.0,0.33,6.85,7,Buena
9.6,0.9924,0.071,128.0,0.335,2.5,6,Mediana
11.9,0.992,0.038,138.0,0.33,6.85,7,Buena
9.6,0.9937,0.047,245.0,0.4,4.4,6,Mediana
9.0,0.9978,0.063,191.0,0.22,14.3,6,Mediana
9.0,0.9978,0.063,191.0,0.22,14.3,6,Mediana
10.6,0.9935,0.04,161.0,0.24,4.7,6,Mediana
10.2,0.9968,0.047,162.0,0.24,14.9,6,Mediana
8.9,0.9941,0.055,84.0,0.365,1.2,5,Mediana
9.7,0.9942,0.05,127.0,0.15,5.3,6,Mediana
9.0,0.9978,0.063,191.0,0.22,14.3,6,Mediana
11.4,0.9923,0.037,102.0,0.16,2.3,7,Buena
12.3,0.9912,0.028,113.0,0.26,3.5,7,Buena
9.4,0.9927,0.053,148.0,0.33,1.0,6,Mediana
10.6,0.9931,0.049,178.0,0.29,2.3,6,Mediana
11.6,0.9941,0.044,72.0,0.39,12.5,5,Mediana
9.4,0.9927,0.053,148.0,0.33,1.0,6,Mediana
10.6,0.9931,0.049,178.0,0.29,2.3,6,Mediana
9.2,0.9936,0.048,149.0,0.27,2.4,6,Mediana
12.5,0.9893,0.027,89.0,0.33,1.6,7,Buena
12.5,0.9893,0.027,89.0,0.33,1.6,7,Buena
10.4,0.9919,0.037,119.0,0.31,1.5,7,Buena
10.0,0.9924,0.045,98.0,0.2,1.4,7,Buena
10.0,0.9927,0.049,155.0,0.32,2.6,6,Mediana
10.4,0.9919,0.037,119.0,0.31,1.5,7,Buena
10.0,0.9924,0.045,98.0,0.2,1.4,7,Buena
9.0,0.9975,0.046,179.0,0.28,12.5,6,Mediana
9.2,0.9969,0.051,157.0,0.35,9.6,6,Mediana
9.2,0.9936,0.048,149.0,0.27,2.4,6,Mediana
11.3,0.991,0.027,125.0,0.36,3.2,7,Buena
12.5,0.9893,0.027,89.0,0.33,1.6,7,Buena
10.8,0.9906,0.026,115.0,0.17,1.5,7,Buena
9.7,0.995,0.047,140.0,0.21,5.4,6,Mediana
9.3,0.9983,0.032,181.0,0.3,14.9,7,Buena
9.3,0.9983,0.032,181.0,0.3,14.9,7,Buena
10.6,0.9916,0.031,66.0,0.36,1.1,5,Mediana
12.2,0.99,0.021,69.0,0.24,2.0,6,Mediana
8.8,0.9976,0.044,163.0,0.37,11.8,5,Mediana
11.4,0.9917,0.031,93.0,0.28,1.8,5,Mediana
11.4,0.9917,0.037,107.0,0.2,1.5,6,Mediana
9.4,0.9993,0.048,168.0,0.26,18.2,5,Mediana
11.7,0.9908,0.032,83.0,0.19,2.9,6,Mediana
11.4,0.9917,0.037,107.0,0.2,1.5,6,Mediana
8.8,0.9976,0.044,163.0,0.37,11.8,5,Mediana
8.7,1.0,0.046,252.0,0.27,18.2,5,Mediana
12.6,0.9918,0.035,170.0,0.22,6.3,6,Mediana
12.8,0.9896,0.031,99.0,0.28,4.0,7,Buena
10.3,0.992,0.044,116.0,0.14,1.2,6,Mediana
11.4,0.9917,0.031,93.0,0.28,1.8,5,Mediana
9.0,0.9999,0.038,155.0,0.25,18.95,6,Mediana
10.5,0.9918,0.036,85.0,0.19,1.2,5,Mediana
10.5,0.9918,0.036,85.0,0.19,1.2,5,Mediana
9.0,0.9999,0.038,155.0,0.25,18.95,6,Mediana
9.8,0.9927,0.041,99.0,0.21,1.2,6,Mediana
9.0,0.9959,0.047,210.0,0.26,7.7,5,Mediana
9.8,0.9927,0.041,99.0,0.21,1.2,6,Mediana
10.5,0.9929,0.05,137.0,0.31,1.6,6,Mediana
12.7,0.9898,0.03,136.0,0.22,2.7,7,Buena
10.4,0.9954,0.045,222.0,0.21,8.7,6,Mediana
10.4,0.9954,0.045,221.0,0.21,8.6,6,Mediana
10.4,0.9954,0.045,221.0,0.21,8.6,6,Mediana
10.5,0.9954,0.047,162.0,0.23,8.3,7,Buena
10.4,0.9954,0.045,222.0,0.21,8.7,6,Mediana
10.4,0.9954,0.045,221.0,0.21,8.6,6,Mediana
9.4,0.9974,0.053,194.0,0.29,13.3,5,Mediana
9.1,0.9936,0.051,89.0,0.21,1.2,5,Mediana
9.3,0.9978,0.056,197.0,0.31,13.6,5,Mediana
9.4,0.9974,0.053,194.0,0.29,13.3,5,Mediana
9.8,0.9927,0.048,84.0,0.34,1.1,5,Mediana
9.9,0.9934,0.045,214.0,0.155,2.3,7,Buena
12.2,0.992,0.027,97.0,0.2,6.2,7,Buena
9.8,0.9935,0.042,218.5,0.28,2.5,5,Mediana
9.9,0.9934,0.045,214.0,0.155,2.3,7,Buena
11.6,0.9913,0.028,102.0,0.22,1.6,7,Buena
10.4,0.9938,0.033,137.0,0.38,6.6,6,Mediana
11.0,0.9975,0.031,139.0,0.24,20.8,6,Mediana
12.4,0.9914,0.054,156.0,0.28,2.6,5,Mediana
9.8,0.9982,0.048,113.0,0.41,14.0,6,Mediana
9.8,0.9982,0.048,113.0,0.41,14.0,6,Mediana
10.5,0.9929,0.052,127.0,0.28,1.6,7,Buena
10.1,0.9921,0.038,128.0,0.2,1.2,5,Mediana
10.6,0.9931,0.042,160.0,0.46,2.7,7,Buena
10.5,0.9924,0.046,113.0,0.27,1.6,7,Buena
10.5,0.9929,0.052,127.0,0.28,1.6,7,Buena
9.8,0.9982,0.048,113.0,0.41,14.0,6,Mediana
12.9,0.9892,0.022,82.0,0.23,1.5,7,Buena
9.5,0.9956,0.056,111.0,0.21,8.6,5,Mediana
9.8,0.9924,0.053,218.5,0.37,1.0,6,Mediana
9.5,0.9956,0.056,111.0,0.21,8.6,5,Mediana
9.3,0.9982,0.047,171.0,0.25,15.2,5,Mediana
9.5,0.9973,0.047,162.0,0.25,12.4,5,Mediana
9.4,0.9932,0.044,68.0,0.32,2.2,6,Mediana
9.4,0.9956,0.039,141.0,0.14,9.0,6,Mediana
9.4,0.9932,0.044,68.0,0.32,2.2,6,Mediana
9.6,0.9992,0.047,182.0,0.29,18.15,5,Mediana
10.0,0.9937,0.036,200.0,0.38,3.4,5,Mediana
12.5,0.99,0.023,86.0,0.24,2.0,6,Mediana
9.6,0.9944,0.034,132.0,0.17,4.8,7,Buena
9.4,0.9938,0.03,102.0,0.16,4.5,6,Mediana
9.5,0.9965,0.029,227.0,0.24,11.0,5,Mediana
12.4,0.9893,0.028,105.0,0.28,1.1,7,Buena
10.5,0.9927,0.037,115.0,0.22,1.5,6,Mediana
10.4,0.9928,0.041,164.0,0.22,1.7,6,Mediana
9.2,0.9964,0.043,172.0,0.47,8.9,5,Mediana
10.6,0.9917,0.047,104.0,0.36,1.3,6,Mediana
9.5,0.9972,0.044,137.0,0.25,13.3,5,Mediana
9.2,0.9964,0.043,172.0,0.47,8.9,5,Mediana
9.7,0.993,0.028,117.0,0.18,1.5,6,Mediana
9.7,0.9928,0.025,117.0,0.16,1.5,6,Mediana
10.7,0.9916,0.035,90.0,0.34,1.3,6,Mediana
10.5,0.9936,0.045,180.0,0.29,1.6,6,Mediana
8.9,0.9962,0.047,177.0,0.26,7.6,6,Mediana
12.1,0.9899,0.035,70.0,0.28,1.0,6,Mediana
12.7,0.9898,0.032,65.0,0.23,1.6,7,Buena
9.9,0.996,0.039,182.0,0.19,8.9,6,Mediana
11.4,0.9907,0.022,158.0,0.19,1.8,6,Mediana
10.7,0.994,0.04,103.0,0.2,4.7,6,Mediana
12.5,0.9913,0.025,173.0,0.44,7.0,6,Mediana
12.5,0.9904,0.026,147.0,0.23,1.6,6,Mediana
10.0,0.992,0.04,174.0,0.335,1.0,5,Mediana
9.5,0.999,0.045,200.0,0.28,16.7,6,Mediana
9.9,0.9937,0.038,210.0,0.3,2.25,6,Mediana
9.9,0.9937,0.037,210.0,0.3,2.25,5,Mediana
8.9,0.998,0.053,140.0,0.18,12.2,6,Mediana
8.9,0.998,0.053,140.0,0.18,12.2,6,Mediana
10.0,0.9921,0.041,138.0,0.27,1.3,6,Mediana
12.1,0.9908,0.042,167.0,0.34,1.8,6,Mediana
11.0,0.9931,0.04,141.0,0.26,5.2,6,Mediana
11.2,0.9915,0.025,55.0,0.36,1.4,6,Mediana
10.3,0.9952,0.036,115.0,0.28,9.0,7,Buena
10.4,0.9926,0.051,167.0,0.31,2.2,6,Mediana
9.1,0.9934,0.055,154.0,0.18,1.6,5,Mediana
10.4,0.992,0.045,154.0,0.15,1.7,6,Mediana
10.8,0.9918,0.05,78.0,0.13,1.9,6,Mediana
11.7,0.9942,0.048,41.0,0.34,12.6,5,Mediana
9.8,0.9942,0.039,143.0,0.19,2.1,5,Mediana
9.8,0.9942,0.039,143.0,0.19,2.1,5,Mediana
11.4,0.9901,0.038,101.0,0.25,1.3,6,Mediana
11.2,0.9898,0.033,96.0,0.36,1.7,6,Mediana
11.4,0.9902,0.038,72.0,0.35,1.0,5,Mediana
12.5,0.9906,0.04,29.0,0.31,5.0,4,Baja
12.6,0.9898,0.034,116.0,0.28,1.8,6,Mediana
11.2,0.9922,0.03,112.0,0.19,4.5,6,Mediana
9.0,0.9976,0.067,178.0,0.25,13.2,6,Mediana
9.0,0.9976,0.067,178.0,0.25,13.2,6,Mediana
9.0,0.9976,0.067,178.0,0.25,13.2,6,Mediana
9.1,0.9987,0.047,171.0,0.345,15.3,5,Mediana
9.1,0.9987,0.047,171.0,0.345,15.3,5,Mediana
9.0,0.9976,0.067,178.0,0.25,13.2,6,Mediana
10.4,0.992,0.045,61.0,0.24,1.5,5,Mediana
9.5,0.9955,0.053,211.0,0.25,4.55,6,Mediana
11.4,0.9953,0.04,175.0,0.31,9.9,4,Baja
9.9,0.992,0.045,167.0,0.35,1.1,6,Mediana
9.9,0.9952,0.036,148.0,0.24,8.7,6,Mediana
9.0,0.9983,0.047,162.0,0.28,13.9,6,Mediana
10.0,0.9933,0.04,149.0,0.16,1.4,6,Mediana
9.7,0.9958,0.039,172.0,0.26,7.2,6,Mediana
11.8,0.9922,0.052,87.0,0.22,1.9,6,Mediana
10.2,0.9928,0.044,127.0,0.18,1.7,7,Buena
9.6,0.9976,0.05,168.0,0.3,13.6,7,Buena
12.1,0.9901,0.028,118.0,0.28,1.6,7,Buena
9.6,0.9976,0.05,168.0,0.3,13.6,7,Buena
12.1,0.9901,0.028,118.0,0.28,1.6,7,Buena
10.4,0.993,0.049,137.0,0.41,1.6,6,Mediana
9.5,0.9969,0.044,165.0,0.21,12.1,5,Mediana
