alcohol,sulphates,volatile acidity,density,citric acid,total sulfur dioxide,quality,tipo_calidad
9.0,0.55,1.0,0.99685,0.09,37.0,6,Buena
10.9,0.71,0.38,0.99925,0.56,24.0,6,Buena
9.8,0.49,0.58,0.99565,0.1,109.0,6,Buena
9.9,0.96,0.66,0.9983,0.0,23.0,6,Buena
9.5,0.52,0.68,0.99685,0.07,51.0,5,Mediana
9.3,0.45,0.6,0.9963,0.17,73.0,5,Mediana
9.8,0.48,0.53,0.99615,0.06,39.0,6,Buena
9.9,0.96,0.66,0.9983,0.0,23.0,6,Buena
10.0,0.78,0.32,0.9985,0.44,37.0,6,Buena
9.9,0.7,0.6,0.9972,0.0,34.0,6,Buena
10.5,0.53,0.35,0.9986,0.48,21.0,5,Mediana
9.5,0.59,0.775,0.9959,0.42,86.0,5,Mediana
9.9,0.7,0.6,0.9972,0.0,34.0,6,Buena
9.3,0.57,0.57,0.99675,0.23,119.0,5,Mediana
9.2,0.62,0.34,0.998,0.37,13.0,5,Mediana
9.2,0.67,0.695,0.9968,0.0,56.0,5,Mediana
10.5,0.8,0.31,0.99965,0.47,33.0,7,Buena
9.3,0.65,0.33,0.99625,0.23,45.0,5,Mediana
9.4,0.6,0.975,0.99565,0.04,67.0,4,Baja
10.0,0.57,0.52,0.99575,0.03,35.0,5,Mediana
9.3,0.67,0.37,0.9963,0.23,49.0,5,Mediana
10.2,0.72,0.26,0.9968,0.52,10.0,7,Buena
9.8,0.72,0.87,1.00025,0.0,61.0,4,Baja
9.4,0.64,0.715,0.99735,0.2,38.0,5,Mediana
9.3,0.82,0.26,0.9986,0.44,19.0,6,Buena
9.1,0.57,0.52,0.9971,0.12,53.0,5,Mediana
9.8,0.71,0.59,1.00015,0.07,71.0,5,Mediana
9.8,0.71,0.59,1.00015,0.07,71.0,5,Mediana
10.3,0.76,0.45,0.9997,0.55,49.0,6,Buena
10.3,0.7,0.4,0.9967,0.12,53.0,6,Buena
10.6,0.86,0.52,0.9976,0.09,49.0,7,Buena
9.2,0.95,0.42,1.001,0.53,98.0,5,Mediana
10.6,0.86,0.52,0.9976,0.09,49.0,7,Buena
10.3,0.64,0.55,0.9994,0.23,48.0,6,Buena
10.1,0.6,0.36,0.9964,0.25,16.0,6,Buena
9.5,0.64,0.5,1.0001,0.46,27.0,5,Mediana
9.9,0.52,0.83,0.9981,0.37,70.0,5,Mediana
9.6,0.73,0.63,0.99855,0.06,29.0,5,Mediana
9.7,0.8,0.65,0.9993,0.02,31.0,5,Mediana
9.6,0.71,0.67,0.99845,0.06,33.0,5,Mediana
10.7,0.59,0.53,0.9965,0.06,44.0,6,Buena
10.1,0.64,0.18,0.9973,0.48,15.0,6,Buena
10.0,0.72,0.705,0.9994,0.12,28.0,5,Mediana
9.2,0.52,0.65,0.9973,0.6,90.0,5,Mediana
9.3,0.59,0.53,0.9998,0.48,25.0,6,Buena
9.4,0.52,0.62,0.9966,0.32,54.0,5,Mediana
9.5,0.53,0.29,0.9968,0.38,30.0,6,Buena
9.3,0.59,0.53,0.9998,0.48,25.0,6,Buena
9.4,0.54,0.53,0.996,0.24,105.0,6,Buena
9.5,0.63,0.46,0.99815,0.31,98.0,6,Buena
11.0,0.68,0.36,0.99645,0.29,72.0,5,Mediana
11.0,0.65,0.35,0.9962,0.29,53.0,6,Buena
10.1,0.65,0.56,0.9996,0.23,92.0,5,Mediana
10.4,0.64,0.77,0.99865,0.12,74.0,6,Buena
11.5,0.71,0.66,0.9989,0.39,59.0,7,Buena
10.4,0.64,0.77,0.99865,0.12,74.0,6,Buena
11.5,0.71,0.66,0.9989,0.39,59.0,7,Buena
9.7,0.62,0.61,0.99975,0.26,87.0,5,Mediana
9.3,0.63,0.62,0.99735,0.05,18.0,5,Mediana
9.5,0.7,0.59,0.999,0.42,73.0,6,Buena
9.5,0.62,0.46,0.9981,0.39,15.0,5,Mediana
9.4,0.54,0.58,0.9973,0.28,114.0,6,Buena
11.0,0.52,0.56,0.9958,0.08,44.0,5,Mediana
11.7,0.74,0.65,0.9963,0.01,38.0,7,Buena
12.5,0.7,0.43,0.9948,0.45,16.0,6,Buena
10.3,0.64,0.43,0.9974,0.32,58.0,5,Mediana
11.3,0.87,0.42,0.9972,0.48,18.0,6,Buena
9.8,0.75,0.39,0.9982,0.47,14.0,6,Buena
9.8,0.75,0.39,0.9982,0.47,14.0,6,Buena
10.7,0.78,0.57,1.0006,0.5,32.0,6,Buena
9.9,0.81,0.685,0.9979,0.0,63.0,5,Mediana
12.3,0.89,0.815,0.9955,0.02,34.0,7,Buena
10.0,0.92,0.56,0.9979,0.31,46.0,6,Buena
9.4,0.86,0.785,0.9994,0.0,28.0,6,Buena
9.9,0.98,0.67,1.0004,0.22,34.0,6,Buena
9.4,0.83,0.795,0.9994,0.0,26.0,6,Buena
9.3,0.73,0.665,0.9974,0.0,19.0,5,Mediana
12.8,0.61,0.75,0.9955,0.01,32.0,6,Buena
11.0,0.88,0.41,1.0001,0.52,55.0,5,Mediana
11.7,0.75,0.42,0.997,0.66,29.0,7,Buena
10.4,0.85,0.43,1.0,0.66,23.0,7,Buena
9.4,0.7,0.7,0.9973,0.23,81.0,5,Mediana
9.9,0.91,0.45,0.9982,0.31,50.0,6,Buena
10.0,0.56,0.58,0.9992,0.66,37.0,5,Mediana
11.8,0.93,0.42,0.9979,0.5,21.0,6,Buena
9.0,0.69,0.575,1.0,0.61,24.0,5,Mediana
9.9,0.78,0.765,0.9975,0.02,63.0,5,Mediana
8.7,0.87,0.24,0.9967,0.4,25.0,6,Buena
9.2,0.63,0.55,0.9959,0.22,72.0,5,Mediana
10.8,0.7,0.42,0.9979,0.38,60.0,6,Buena
9.4,0.8,0.26,0.9974,0.42,27.0,6,Buena
9.4,0.8,0.26,0.9974,0.42,27.0,6,Buena
9.4,0.8,0.26,0.9974,0.42,27.0,6,Buena
9.2,0.74,0.51,0.998,0.28,54.0,5,Mediana
9.7,0.76,0.63,0.9979,0.07,37.0,6,Buena
9.2,0.74,0.54,0.9981,0.26,48.0,6,Buena
9.6,0.54,0.66,0.9972,0.15,42.0,6,Buena
9.2,0.74,0.46,0.9981,0.26,53.0,6,Buena
10.0,0.7,0.38,0.9982,0.31,49.0,7,Buena
9.5,0.51,0.37,0.998,0.52,26.0,5,Mediana
9.1,0.54,0.665,0.997,0.61,95.0,5,Mediana
11.0,0.65,0.59,0.9988,0.59,49.0,6,Buena
11.0,0.65,0.59,0.9988,0.59,49.0,6,Buena
9.4,0.55,0.765,0.9963,0.22,42.0,5,Mediana
10.8,0.47,0.26,0.9949,0.3,38.0,6,Buena
10.5,0.61,0.48,1.0,0.54,64.0,6,Buena
10.5,0.63,0.6,0.9994,0.49,41.0,6,Buena
9.1,0.61,0.69,0.9974,0.05,27.0,5,Mediana
10.1,0.76,0.31,0.9966,0.46,25.0,6,Buena
10.8,0.65,0.44,0.9981,0.47,28.0,6,Buena
10.8,0.63,0.39,0.9996,0.66,30.0,7,Buena
9.5,0.62,0.43,0.9987,0.34,86.0,6,Buena
9.5,0.62,0.45,0.9987,0.35,78.0,5,Mediana
9.3,0.64,0.735,0.9966,0.16,77.0,5,Mediana
9.5,0.61,0.52,0.9982,0.34,122.0,5,Mediana
11.7,0.66,0.48,0.997,0.64,20.0,6,Buena
9.9,0.68,0.77,0.9976,0.0,52.0,5,Mediana
11.8,0.73,0.56,0.9972,0.33,67.0,7,Buena
12.3,0.56,0.84,0.9952,0.03,48.0,7,Buena
10.9,0.44,0.96,0.9955,0.2,60.0,5,Mediana
11.0,0.9,0.24,0.9978,0.47,24.0,7,Buena
10.9,0.44,0.96,0.9955,0.2,60.0,5,Mediana
12.3,0.56,0.84,0.9952,0.03,48.0,7,Buena
11.4,0.49,0.67,0.9949,0.08,48.0,6,Buena
10.6,0.56,0.78,0.9988,0.22,32.0,6,Buena
9.3,0.6,0.52,0.9978,0.33,30.0,5,Mediana
11.0,0.9,0.24,0.9978,0.47,24.0,7,Buena
9.2,0.56,0.55,0.9974,0.35,66.0,5,Mediana
12.8,0.65,0.37,0.9958,0.69,24.0,6,Buena
9.5,0.49,0.39,1.0004,0.63,18.0,5,Mediana
9.9,0.89,0.41,0.9996,0.55,54.0,6,Buena
9.5,0.49,0.39,1.0004,0.63,18.0,5,Mediana
10.2,0.56,0.67,0.9958,0.3,62.0,6,Buena
11.2,0.66,0.45,0.9986,0.73,22.0,6,Buena
9.9,0.89,0.41,0.9996,0.55,54.0,6,Buena
9.3,0.6,0.62,0.9951,0.18,50.0,5,Mediana
11.3,0.68,0.4,0.9988,0.65,27.0,6,Buena
11.6,0.63,0.44,0.9963,0.49,19.0,7,Buena
12.5,0.84,0.57,0.9934,0.01,27.0,7,Buena
10.1,0.56,0.735,0.9986,0.1,31.0,6,Buena
10.2,0.56,0.53,0.9967,0.22,27.0,6,Buena
10.8,0.61,0.39,0.9994,0.69,35.0,6,Buena
10.8,0.61,0.39,0.9994,0.69,35.0,6,Buena
10.0,0.63,0.56,0.9968,0.03,35.0,6,Buena
11.2,0.74,0.33,0.9998,0.63,22.0,7,Buena
11.1,0.63,0.23,0.9952,0.4,67.0,5,Mediana
10.3,0.58,0.59,0.9986,0.39,22.0,5,Mediana
9.6,0.58,0.63,0.9988,0.21,65.0,5,Mediana
11.2,0.74,0.33,0.9998,0.63,22.0,7,Buena
11.3,0.61,0.43,0.9976,0.52,23.0,6,Buena
9.3,0.61,0.615,0.9982,0.22,19.0,5,Mediana
11.8,0.61,0.26,0.997,0.68,25.0,5,Mediana
9.2,0.7,0.315,0.9987,0.54,15.0,6,Buena
9.7,0.91,0.29,1.0006,0.4,26.0,5,Mediana
11.5,0.72,0.5,0.9982,0.42,51.0,6,Buena
9.2,0.62,0.36,1.0,0.69,21.0,6,Buena
9.8,0.58,0.82,0.9952,0.02,48.0,5,Mediana
11.4,0.71,0.54,0.997,0.42,52.0,6,Buena
10.6,0.79,0.35,0.9971,0.55,14.0,5,Mediana
9.4,0.89,0.28,0.9982,0.51,24.0,6,Buena
10.2,0.6,0.68,0.9988,0.24,28.0,5,Mediana
9.7,0.7,0.27,0.998,0.41,16.0,5,Mediana
10.2,0.6,0.68,0.9988,0.24,28.0,5,Mediana
10.1,0.7,0.685,0.9984,0.11,31.0,6,Buena
10.0,0.47,0.67,0.9976,0.39,17.0,5,Mediana
10.0,0.47,0.67,0.9976,0.39,17.0,5,Mediana
10.0,0.42,0.645,0.9982,0.36,14.0,6,Buena
10.8,0.92,0.32,1.0002,0.55,67.0,7,Buena
10.2,0.75,0.39,0.9984,0.4,26.0,6,Buena
10.6,0.67,0.775,0.9984,0.27,56.0,6,Buena
13.3,0.79,0.41,0.9952,0.5,25.0,7,Buena
13.4,0.9,0.4,0.995,0.51,27.0,7,Buena
11.6,0.74,0.69,1.0002,0.31,81.0,6,Buena
9.0,0.65,0.52,0.9984,0.25,38.0,6,Buena
11.6,0.74,0.69,1.0002,0.31,81.0,6,Buena
9.0,0.65,0.52,0.9984,0.25,38.0,6,Buena
12.5,0.78,0.49,0.9968,0.63,26.0,7,Buena
9.5,0.71,0.67,1.0,0.55,13.0,6,Buena
10.2,0.63,0.59,0.9994,0.31,62.0,6,Buena
10.2,0.63,0.59,0.9994,0.31,62.0,6,Buena
11.8,0.66,0.51,0.9973,0.64,15.0,7,Buena
11.8,0.66,0.51,0.9973,0.64,15.0,7,Buena
11.7,0.68,0.21,0.9972,0.49,32.0,6,Buena
11.0,0.78,0.365,0.9966,0.49,106.0,5,Mediana
10.0,0.9,0.25,0.9982,0.49,33.0,6,Buena
9.1,0.64,0.41,0.998,0.49,43.0,5,Mediana
9.5,0.64,0.43,0.9976,0.49,116.0,5,Mediana
9.9,0.67,0.64,0.9998,0.24,53.0,5,Mediana
11.0,0.78,0.365,0.9966,0.49,106.0,5,Mediana
11.4,0.77,0.38,0.9962,0.49,85.0,6,Buena
8.7,0.75,0.42,0.9988,0.49,55.0,6,Buena
9.4,0.57,0.63,0.9974,0.24,33.0,5,Mediana
10.3,0.87,0.22,0.999,0.24,28.0,6,Buena
10.3,0.61,0.38,1.0004,0.49,42.0,5,Mediana
10.3,0.61,0.38,1.0004,0.49,42.0,5,Mediana
12.8,0.66,0.27,0.9956,0.24,33.0,6,Buena
10.0,0.56,0.48,1.0,0.24,32.0,6,Buena
10.3,0.87,0.22,0.999,0.24,28.0,6,Buena
9.4,0.57,0.63,0.9974,0.24,33.0,5,Mediana
10.7,0.77,0.825,0.9972,0.24,13.0,6,Buena
9.6,0.67,0.59,0.9988,0.24,47.0,5,Mediana
9.9,0.59,0.715,0.9966,0.24,20.0,5,Mediana
11.0,0.72,0.66,0.9993,0.24,53.0,6,Buena
9.1,0.59,0.47,0.9982,0.49,106.0,5,Mediana
9.5,0.78,0.55,0.9983,0.24,28.0,6,Buena
10.7,0.86,0.31,0.9987,0.49,21.0,6,Buena
9.5,0.56,0.51,0.9958,0.01,25.0,6,Buena
10.0,0.73,0.43,0.998,0.24,45.0,6,Buena
10.0,0.74,0.46,0.998,0.24,44.0,6,Buena
9.2,0.58,0.44,0.9978,0.49,121.0,5,Mediana
9.2,0.61,0.54,0.9982,0.49,110.0,5,Mediana
10.1,0.61,0.29,0.9971,0.49,60.0,6,Buena
11.7,0.57,0.36,0.9946,0.24,42.0,6,Buena
11.0,0.91,0.35,1.0003,0.49,37.0,6,Buena
11.7,0.57,0.36,0.9946,0.24,42.0,6,Buena
10.4,0.61,0.24,0.9978,0.49,28.0,5,Mediana
9.6,0.56,0.59,0.9991,0.49,47.0,4,Baja
10.0,0.7,0.34,0.9992,0.49,78.0,6,Buena
10.2,0.8,0.27,0.9993,0.49,46.0,6,Buena
10.0,0.52,0.5,0.9978,0.24,14.0,4,Baja
9.5,0.6,0.44,0.9982,0.49,111.0,5,Mediana
9.8,0.6,0.47,0.9982,0.49,110.0,5,Mediana
9.8,0.51,0.31,0.9976,0.49,40.0,6,Buena
9.6,0.44,0.5,1.0002,0.49,14.0,5,Mediana
9.6,0.44,0.5,1.0002,0.49,14.0,5,Mediana
9.2,0.43,0.49,1.0,0.49,15.0,5,Mediana
9.9,0.66,0.28,0.9976,0.49,21.0,7,Buena
9.6,0.66,0.51,0.998,0.24,38.0,6,Buena
9.3,0.59,0.73,0.9967,0.24,102.0,5,Mediana
10.5,0.74,0.29,0.9976,0.49,13.0,7,Buena
9.7,0.57,0.45,0.9987,0.49,75.0,5,Mediana
9.7,0.57,0.45,0.9987,0.49,75.0,5,Mediana
9.0,0.58,0.49,1.0004,0.58,43.0,5,Mediana
9.5,0.53,0.72,0.9978,0.17,38.0,5,Mediana
10.0,0.63,0.58,0.998,0.58,18.0,6,Buena
9.8,0.48,0.585,0.9967,0.18,30.0,6,Buena
10.0,0.47,0.915,0.9962,0.27,23.0,4,Baja
9.3,0.52,0.835,0.9975,0.0,14.0,5,Mediana
9.1,0.62,0.58,0.9984,0.13,63.0,6,Buena
9.2,0.59,0.6,0.9984,0.13,24.0,6,Buena
10.5,0.53,0.48,0.9982,0.41,52.0,6,Buena
12.7,0.52,0.36,0.9956,0.19,39.0,6,Buena
9.2,0.54,0.24,0.9983,0.54,57.0,5,Mediana
10.0,0.6,0.64,0.9965,0.0,29.0,6,Buena
9.8,0.74,0.39,0.9962,0.38,29.0,5,Mediana
9.7,0.57,0.6,0.9997,0.5,71.0,5,Mediana
9.7,0.57,0.6,0.9997,0.5,71.0,5,Mediana
9.8,0.93,0.31,0.9982,0.51,28.0,6,Buena
9.3,0.8,0.37,0.9988,0.41,16.0,5,Mediana
9.4,0.61,0.54,0.9976,0.24,112.0,5,Mediana
9.4,0.62,0.56,0.9976,0.23,104.0,5,Mediana
9.5,0.55,0.58,0.9974,0.22,32.0,5,Mediana
12.1,0.96,0.51,0.9974,0.25,45.0,6,Buena
9.1,0.49,0.6,0.9988,0.29,15.0,5,Mediana
9.1,0.49,0.6,0.9988,0.29,15.0,5,Mediana
9.3,0.6,0.54,0.9976,0.26,31.0,6,Buena
9.3,0.61,0.685,0.9964,0.23,84.0,5,Mediana
9.3,0.6,0.54,0.9976,0.26,31.0,6,Buena
9.5,0.63,0.28,0.9988,0.54,19.0,5,Mediana
10.5,0.57,0.41,0.9964,0.14,43.0,6,Buena
11.3,0.64,0.935,1.001,0.22,86.0,4,Baja
9.7,0.55,0.84,0.9954,0.0,33.0,5,Mediana
9.4,0.62,0.54,0.9991,0.45,40.0,5,Mediana
9.5,0.63,0.59,0.9992,0.44,68.0,5,Mediana
9.4,0.62,0.54,0.9991,0.45,40.0,5,Mediana
9.5,0.63,0.59,0.9992,0.44,68.0,5,Mediana
9.4,0.62,0.54,0.9991,0.45,40.0,5,Mediana
10.1,0.63,0.67,0.9972,0.05,20.0,5,Mediana
